ANO_INIC_VIG,ANO_INIC_VIG_GERAL,ANO_MES_EMIS_GERAL,ANO_MES_INIC_VIG_APOL,ANO_MODELO,COD_CIA_EMIS,COD_CLASSE_BONUS,COD_PROD,COD_UNID_EMIS,DSC_ESTADO_CIVIL_CONDUTOR,DSC_FAMILIA_VEICULO,DSC_PORTE_VEICULO,DSC_REGIAO_GEO,DSC_REGIONAL_MODEL,DSC_SEGMENTO_VEICULO,DSC_SEXO_CONDUTOR,DT_INIC_ANO_VIG,GR_RISCO_TT,GRUPO_RISCO_BRASIL,IDADE_SEGURADO_F_ATUAL,IDC_ESTADO_CIVIL_CONDUTOR,NME_REGIAO_GEO,NME_REGIAO_POLITICA,NME_REGIAO_RISCO,NUM_APOLICE,NUM_ENDOSSO,QTD_IDADE_CONDUTOR,QTD_IDADE_SEGURADO,QTD_IDADE_VEICULO,QTD_SIN_PP,QTD_SIN_PP_TOTAL,QTD_SIN_PT,QTD_SIN_RB,QTD_SIN_RCF,QTD_SIN_TOTAL,SIG_FABRIC,VAL_LMR_CASCO_FINAL,VAL_LMR_RCF_DM,VAL_PR_ANUAL_CASCO,VAL_PR_ANUAL_RCF_DM,VAL_PR_CASCO,VAL_PR_FINAL_CASCO,VAL_PR_FINAL_RCF_DM,VAL_PR_RISCO_CASCO,VAL_PR_RISCO_RCF_DC,VAL_PR_RISCO_RCF_DM
2019,2019,201909,201812,2015,7110,4,74,337,06.MISSING,NAO INFORMADO,MEDIO,SUDESTE,SP,DISTRIBUICAO / MEDIAS DISTANCIAS,03.MISSING,2019-08-01 00:00:00,0,1,119,,SUDESTE,"SANTOS, BERTIOGA E GUARUJÁ",SP_MICRO SANTOS,13341830,8068119,0,999,99,0,0,0,0,0,0,FORD,0,0,3643.09,501.7,0,0,0,0,0,0
2019,2019,201901,201901,2018,7110,10,1,108,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA FECHADA ACIMA DE 2 EIXOS,SUDESTE,MG/ES,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2018-08-01 00:00:00,0,5,0,,SUDESTE,MG_ALFENAS,MG_MESO SUL/SUDOESTE DE MINAS,12335770,0,0,999,1,0,0,0,0,0,0,RANDO,90954,0,1255.81,0,1255.81,1255.015,0,1537.023,0,0
2019,2019,201907,201906,2019,7110,0,1,337,05.SEM INFORMACAO,CAT 15/21,GRANDE,SUDESTE,RJ,STANDARD,04.SEM INFORMACAO,2019-01-01 00:00:00,0,7,0,,SUDESTE,RJ_CIDADE RJ - ZONA SUL 1,RJ_CIDADE RJ - ZONA SUL 1,13741660,0,0,999,0,0,0,0,0,0,0,PEUGE,135180,0,6415.57,0,6415.57,0,0,4561.481,0,0
2019,2019,201905,201905,2011,7110,6,1,94,05.SEM INFORMACAO,NAO INFORMADO,ISOTERMICO ACIMA DE 2 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2018-08-01 00:00:00,0,9,0,,SUL,REG_POL_RS_MUNIC_LAJEADO,RS_MESO CENTRO ORIENTAL RIO-GRANDENSE,10777760,0,0,999,8,0,0,0,0,0,0,RANDO,60000,0,1998.51,0,1998.51,0,0,3351.475,0,0
2019,2019,201901,201901,2008,7110,3,1,221,05.SEM INFORMACAO,NAO INFORMADO,ISOTERMICO ACIMA DE 2 EIXOS,SUDESTE,SP INT,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2018-08-01 00:00:00,0,6,0,,SUDESTE,SP_MUNICIPIO JUNDIAI,SP_MUNICIPIO JUNDIAI,7329271,0,0,999,11,0,0,0,0,0,0,RANDO,75703,0,3595.68,0,3595.68,3600.828,0,1302.623,0,0
2019,2019,201909,201811,2015,7110,0,4,221,05.SEM INFORMACAO,SAVEIRO,PEQUENO,SUDESTE,SP INT,STANDARD,04.SEM INFORMACAO,2019-01-01 00:00:00,0,1,119,,SUDESTE,SP_MICRO CAMPINAS 2 V2,SP_MICRO CAMPINAS 2,7174030,5876940,0,999,99,0,0,0,0,0,0,VW,0,0,1222.28,488.93,0,0,0,0,0,0
2019,2019,201910,201910,2017,7110,2,1,221,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA ABERTA 2 EIXOS,SUDESTE,SP INT,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,9,0,,SUDESTE,SOROCABA,SP_MICRO SOROCABA,8322650,0,0,999,2,0,0,0,0,0,0,RANDO,85000,0,3343.71,0,3343.71,0,0,3725.476,0,0
2019,2019,201905,201905,2005,7110,2,1,337,07.CONDUTOR INDETERMINADO,NAO INFORMADO,CARROCERIA ABERTA ACIMA DE 2 EIXOS,NORDESTE,NORTE/NORDESTE,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2018-08-01 00:00:00,0,0,0,,NORDESTE,POL_LESTE SERGIPANO,SE_MESO LESTE SERGIPANO,13584920,0,0,999,14,0,0,0,0,0,0,GUERR,28000,0,5253.38,0,5253.38,0,0,1355.775,0,0
2019,2019,201907,201907,2010,7110,0,3,86,05.SEM INFORMACAO,NAO INFORMADO,COMERCIAL AGRICOLA / OUTROS,SUL,SUL,RURAL / OUTROS,04.SEM INFORMACAO,2019-01-01 00:00:00,0,1,0,,SUL,REG_POL_SC_GRANDE_BLUMENAU,SC_MICRO BLUMENAU,6461701,0,0,999,9,0,0,0,0,0,0,CASE,0,100000,0,347.36,0,0,314.874,0,19.046,217.186
2019,2019,201905,201811,2015,7110,1,5,221,06.MISSING,LOGAN,PEQUENO,SUDESTE,SP INT,POPULAR / ENTRADA,03.MISSING,2019-01-01 00:00:00,0,1,119,,SUDESTE,01_CAMPINAS_GRP_1,SP_MUNICIPIO CAMPINAS,7095840,5740347,0,69,99,0,0,0,0,0,0,RENAU,0,0,1355,388.88,0,0,0,0,0,0
